ファイル,ASIN,商品名,検証状態,代替,確認用URL,掲載箇所数,種別,Amazon上の実際の商品名,在庫,検証メモ,検証日,検証方法
data/products.js,B09KLRGC1Y,INKBIRD 水温計（Bluetooth対応）,CAUTION,,https://www.amazon.co.jp/dp/B09KLRGC1Y/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,INKBIRD 水温計（Bluetooth・水槽用プローブ付）,在庫切れ,商品名は一致。現在購入不可,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B09M2LVBYG,キョーリン マルベリックドライ 400g,OK,,https://www.amazon.co.jp/dp/B09M2LVBYG/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,キョーリン マルベリックドライ 400g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
shelter-best10.html,B09QH9315W,木製 隠れ家シェルター（リクガメ・陸棲向け）,OK,,https://www.amazon.co.jp/dp/B09QH9315W/,1,data-asin（JSで/dp/へ展開）,木製シェルター（爬虫類・小動物用）,,一致（メーカー不明のノーブランド品）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
water-filter-best10.html,B09SYVP95T,GEX コーナーパワーフィルター1（水中式・コーナー）,OK,,https://www.amazon.co.jp/dp/B09SYVP95T/,1,data-asin（JSで/dp/へ展開）,GEX AQUA FILTER コーナーパワーフィルター1 ブラック（適合水量25L以下）,,2026-09-08 差し替え。旧 B004X45G2Q は交換用インペラー部品だった,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B09T96TPHJ,Arcadia T5 HO 6% UVB,OK,,https://www.amazon.co.jp/dp/B09T96TPHJ/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,Arcadia Pro T5 UVB Lighting Kit 24W Forest（6% UVB）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html,B09TF5S9FR,マリーナ ガラス水槽 MR600BKL-N LOW（低床水槽）,OK,,https://www.amazon.co.jp/dp/B09TF5S9FR/,1,data-asin（JSで/dp/へ展開）,GEX マリーナ MR600BKL-N ガラス水槽 LOW（60×30×26cm）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
cage-best10.html | data/products.js,B09TF6B5P4,水槽 60cm規格,OK,,https://www.amazon.co.jp/dp/B09TF6B5P4/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX マリーナ MR600BKST-N ガラス水槽（60×30×36cm）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B09VCJP5SK,非接触型赤外線温度計,OK,,https://www.amazon.co.jp/dp/B09VCJP5SK/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,非接触電子温度計（赤外線・0〜100℃）,,一致（メーカー不明のノーブランド品）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B09YYPLCV3,GEX EXOTERRA カルシウム+ビタミンD3 40g,OK,,https://www.amazon.co.jp/dp/B09YYPLCV3/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,GEX EXOTERRA カルシウム+ビタミンD3 40g PT1855,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js,B0BDD1V7G5,カトルボーン（甲イカの骨）,OK,,https://www.amazon.co.jp/dp/B0BDD1V7G5/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,Biwingarden カトルボーン（ホルダー付き・爬虫類/カメ対応）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
uvb-light-best10.html,B0BJV8CWRC,UVチェッカー（紫外線テストカード）,OK,,https://www.amazon.co.jp/dp/B0BJV8CWRC/,1,data-asin（JSで/dp/へ展開）,BluFied 紫外線 UVチェックカード（爬虫類用）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
food-best10.html,B0BLM2HRB7,Mazuri トータスダイエット（リクガメ上級者向け）,OK,,https://www.amazon.co.jp/dp/B0BLM2HRB7/,1,data-asin（JSで/dp/へ展開）,Mazuri トータスダイエット 5M21 1000g,,一致（サイト表記に内容量なし）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0BMKZGZQ1,セラミックヒートランプ 100W（夜間用）,OK,,https://www.amazon.co.jp/dp/B0BMKZGZQ1/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,SURD 爬虫類用 セラミックヒーター 100W 保温電球（カバー付き）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
substrate-review.html,B0BN76YBM8,SMILE PET CLUB ヤシガラ 細目 2L,OK,,https://www.amazon.co.jp/dp/B0BN76YBM8/,1,HTML内の直リンク,SMILE PET CLUB ヤシガラ 爬虫類・両生類用 2L 細目,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
shelter-best10.html,B0BSND3GBP,ピタッとプレート（吸盤式エサ・水皿台）,OK,,https://www.amazon.co.jp/dp/B0BSND3GBP/,1,data-asin（JSで/dp/へ展開）,ビバリア RP-120 ピタッとプレート,在庫僅少,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B0BY5WMMHG,レオパゲル 60g（拒食・餌付け用）,OK,,https://www.amazon.co.jp/dp/B0BY5WMMHG/,1,data-asin（JSで/dp/へ展開）,キョーリン レオパゲル 60g（フィーディングスプーン付）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0CDLG5XF3,爬虫類飼育ケージ 120cm大型（スライドドア）,OK,,https://www.amazon.co.jp/dp/B0CDLG5XF3/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,Takimi 爬虫類ケージ 120×60×60cm スライドドア,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js | substrate-best10.html,B0CJM4TL3Q,赤玉土（小粒）14L,OK,,https://www.amazon.co.jp/dp/B0CJM4TL3Q/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,赤玉土 小粒 14L（4〜6mm・天然乾燥・微塵抜き）,,一致,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
data/products.js | food-best10.html,B0CKBKF2ZH,キョーリン カメのごほうび 乾燥川エビ 12g×3個,OK,,https://www.amazon.co.jp/dp/B0CKBKF2ZH/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,キョーリン 飼育教材 乾燥川エビ カメのごほうび 12g×3個,,2026-09-08 修正済み。products.js の名称を「乾燥エビ（ひかりFD）」→「キョーリン カメのごほうび 乾燥川エビ 12g×3個」に是正（HTML側は元から正しい）,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
food-best10.html,B0CSD6VR97,カメプロス 沈下性 小ペレット 120g,OK,,https://www.amazon.co.jp/dp/B0CSD6VR97/,1,data-asin（JSで/dp/へ展開）,キョーリン カメプロス 沈下性 小ペレット 120g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
substrate-best10.html,B0CSSLGH2C,万能ヤシガラマット 極細目 6L,CAUTION,,https://www.amazon.co.jp/dp/B0CSSLGH2C/,1,data-asin（JSで/dp/へ展開）,邑楽ファーム THEヤシガラパウダー 極細目 6L,,サイト表記「万能ヤシガラマット」は商品名が異なる,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js,B0CZ42FLXM,INKBIRD WiFi温度計湿度計 IBS-TH3 PLUS,CAUTION,,https://www.amazon.co.jp/dp/B0CZ42FLXM/,1,products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,（未確定）,,2種類の検索語でも商品ページを取得できず。同名の INKBIRD IBS-TH3 PLUS の正規ページは B0BZVLB6R4 として実在を確認。本ASINは別バリアントか失効の可能性。Owner の実機確認が必要,2026-09-08,WebSearch（allowed_domains=amazon.co.jp に絞りASINで検索。商品ページURLとタイトルを照合）
dish-best10.html,B0D91YBQZR,セラミック製 餌入れ・水入れ 2個セット（ホワイト）,OK,,https://www.amazon.co.jp/dp/B0D91YBQZR/,1,data-asin（JSで/dp/へ展開）,Kisangel セラミック製 爬虫類用ボウル 2個セット ホワイト,,一致（ノーブランド寄りの海外品）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | food-best10.html | guide-beginner.html | shindan/equipment.js | species/_template-monetized.html | species/hermann-dry-template.html,B0DF2SJMCJ,Rep-Cal リクガメフード 907g（ビバリア取扱）,OK,,https://www.amazon.co.jp/dp/B0DF2SJMCJ/,6,HTML内の直リンク / data-asin（JSで/dp/へ展開） / equipment.js（診断結果の推奨機材） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ビバリア レプカル（Rep-Cal）リクガメフード 907g,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B0DH1Z6T3H,マズリ トータスダイエット 5M21 100g,OK,,https://www.amazon.co.jp/dp/B0DH1Z6T3H/,1,data-asin（JSで/dp/へ展開）,マズリ トータスダイエット 5M21 100g リクガメフード,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
food-best10.html,B0DXZW2XGT,マズリ トータスダイエット 5M21 600g（詰替）,OK,,https://www.amazon.co.jp/dp/B0DXZW2XGT/,1,data-asin（JSで/dp/へ展開）,SBS マズリ 5M21 トータスダイエットフード 600g（業務用からの詰替）,,一致,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | food-best10.html,B0F31WW4Q2,レプトミン（テトラ）,OK,,https://www.amazon.co.jp/dp/B0F31WW4Q2/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,テトラ レプトミン 大粒 200g,,一致（サイト表記に粒サイズ・内容量なし）,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
data/products.js | food-best10.html,B0F6JWRMSL,レップカル ハコガメフード 340g（ビバリア取扱）,OK,,https://www.amazon.co.jp/dp/B0F6JWRMSL/,2,data-asin（JSで/dp/へ展開） / products.js（JSデータ） / products.js（affiliateUrl 等の直リンク）,ビバリア レップカル ハコガメフード 340g,,2026-09-08 修正済み。「シータートルフード」→「ハコガメフード」に是正。楽天検索語も修正,2026-09-08,WebSearch（Amazon商品ページの検索インデックス照合）。商品ページへの直接アクセスはネットワークegress制限によりBLOCKED
